enode://8bdec970ef1fd59f7d104d80e35374acdfea6204130b39c105a06e9ef51ca101ef3fa9f4d96af3ba67897e7d3eafb0b023f555592cb64fc2071a913950f26d3e@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [11-27|11:38:01.283] New local node record                    seq=1,701,081,481,280 id=12922c09e600dfc2 ip=<nil> udp=0 tcp=0
TRACE[11-27|11:38:06.768] << PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.768] >> PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.769] >> PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.770] << PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.771] >> PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.771] >> PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.771] << PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:06.771] << PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.271] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.271] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.272] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.272] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.772] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.772] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.772] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:07.773] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.273] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.273] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.273] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.274] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.774] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.774] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.775] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:08.775] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.274] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.275] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.408] >> PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.409] << PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.409] >> ENRREQUEST/v4                         id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.410] << ENRRESPONSE/v4                        id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
DEBUG[11-27|11:38:09.410] Revalidated node                         b=16 id=ae20e880746b6b0d checks=1
TRACE[11-27|11:38:09.775] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:09.775] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:10.276] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:10.276] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:10.777] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:10.777] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:11.278] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:11.278] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:11.779] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:11.779] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:12.279] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:12.280] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:12.780] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:12.780] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:13.280] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:13.281] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:13.782] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:13.782] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
